Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Roorkee#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4076#5015
Indian Institute of Technology Roorkee#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6866#9914
Indian Institute of Technology Roorkee#Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Gender-Neutral#10149#12928
Indian Institute of Technology Roorkee#Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16852#19020
Indian Institute of Technology Roorkee#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4590#7100
Indian Institute of Technology Roorkee#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9954#12904
Indian Institute of Technology Roorkee#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#284#412
Indian Institute of Technology Roorkee#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#774#1165
Indian Institute of Technology Roorkee#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#542#715
Indian Institute of Technology Roorkee#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1324#1866
Indian Institute of Technology Roorkee#Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Gender-Neutral#4275#5652
Indian Institute of Technology Roorkee#Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8118#12832
Indian Institute of Technology Roorkee#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1047#2037
Indian Institute of Technology Roorkee#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3928#5040
Indian Institute of Technology Roorkee#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#797#1429
Indian Institute of Technology Roorkee#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2468#3004
Indian Institute of Technology Roorkee#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3029#4535
Indian Institute of Technology Roorkee#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7056#11320
Indian Institute of Technology Roorkee#Geological Technology (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#7535#10563
Indian Institute of Technology Roorkee#Geological Technology (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#15115#16434
Indian Institute of Technology Roorkee#Geophysical Technology (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#7641#9824
Indian Institute of Technology Roorkee#Geophysical Technology (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#15132#17600
Indian Institute of Technology Roorkee#Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Gender-Neutral#1109#1523
Indian Institute of Technology Roorkee#Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3164#4340
Indian Institute of Technology Roorkee#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2206#3854
Indian Institute of Technology Roorkee#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7153#9102
Indian Institute of Technology Roorkee#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7043#7945
Indian Institute of Technology Roorkee#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12950#14832
Indian Institute of Technology Roorkee#Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Gender-Neutral#5480#9574
Indian Institute of Technology Roorkee#Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17104#17714
Indian Institute of Technology Roorkee#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4617#5889
Indian Institute of Technology Roorkee#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9642#12236
Indian Institute of Technology (ISM) Dhanbad#Applied Geology (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#16108#17181
Indian Institute of Technology (ISM) Dhanbad#Applied Geology (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#22738#22738
Indian Institute of Technology (ISM) Dhanbad#Applied Geophysics (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#15162#16754
Indian Institute of Technology (ISM) Dhanbad#Applied Geophysics (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#22094#22094
Indian Institute of Technology (ISM) Dhanbad#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9811#12473
Indian Institute of Technology (ISM) Dhanbad#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14707#15442
Indian Institute of Technology (ISM) Dhanbad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10574#14058
Indian Institute of Technology (ISM) Dhanbad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17183#19624
Indian Institute of Technology (ISM) Dhanbad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1853#3258
Indian Institute of Technology (ISM) Dhanbad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3429#6454
Indian Institute of Technology (ISM) Dhanbad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5259#7784
Indian Institute of Technology (ISM) Dhanbad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11126#12614
Indian Institute of Technology (ISM) Dhanbad#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3153#5821
Indian Institute of Technology (ISM) Dhanbad#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8444#10410
Indian Institute of Technology (ISM) Dhanbad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8667#11797
Indian Institute of Technology (ISM) Dhanbad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18120#19088
Indian Institute of Technology (ISM) Dhanbad#Environmental Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12849#15903
Indian Institute of Technology (ISM) Dhanbad#Environmental Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18359#22003
Indian Institute of Technology (ISM) Dhanbad#Mathematics and Computing (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#3401#4710
Indian Institute of Technology (ISM) Dhanbad#Mathematics and Computing (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#9444#10150
Indian Institute of Technology (ISM) Dhanbad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7791#10262
Indian Institute of Technology (ISM) Dhanbad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15650#17760
Indian Institute of Technology (ISM) Dhanbad#Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13697#15373
Indian Institute of Technology (ISM) Dhanbad#Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19618#20968
Indian Institute of Technology (ISM) Dhanbad#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8548#15689
Indian Institute of Technology (ISM) Dhanbad#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#21175#23730
Indian Institute of Technology (ISM) Dhanbad#Mining Machinery Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13568#16151
Indian Institute of Technology (ISM) Dhanbad#Mining Machinery Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#23882#24166
Indian Institute of Technology (ISM) Dhanbad#Petroleum Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8478#13101
Indian Institute of Technology (ISM) Dhanbad#Petroleum Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16974#20492
Indian Institute of Technology Ropar#Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2141#2496
Indian Institute of Technology Ropar#Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4623#6031
Indian Institute of Technology Ropar#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9555#11041
Indian Institute of Technology Ropar#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14696#16377
Indian Institute of Technology Ropar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10039#13078
Indian Institute of Technology Ropar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19279#20841
Indian Institute of Technology Ropar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1350#1859
Indian Institute of Technology Ropar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2416#4212
Indian Institute of Technology Ropar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3348#5832
Indian Institute of Technology Ropar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7300#9988
Indian Institute of Technology Ropar#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6677#9822
Indian Institute of Technology Ropar#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15050#16223
Indian Institute of Technology Ropar#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1885#3082
Indian Institute of Technology Ropar#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6118#7289
Indian Institute of Technology Ropar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7244#8926
Indian Institute of Technology Ropar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13690#16633
Indian Institute of Technology Ropar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#11727#14524
Indian Institute of Technology Ropar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19293#19725
Indian Institute of Technology (BHU) Varanasi#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#23877#24641
Indian Institute of Technology (BHU) Varanasi#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#25056#25690
Indian Institute of Technology (BHU) Varanasi#Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10539#14830
Indian Institute of Technology (BHU) Varanasi#Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18526#18670
Indian Institute of Technology (BHU) Varanasi#Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11799#14852
Indian Institute of Technology (BHU) Varanasi#Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17518#18004
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9616#13254
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17873#19129
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#13161#14479
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21854#22939
Indian Institute of Technology (BHU) Varanasi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6225#8999
Indian Institute of Technology (BHU) Varanasi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10294#13910
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7620#10232
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14290#16550
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#9341#11332
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16845#18848
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#656#1079
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1748#2275
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1126#1366
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2299#2912
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2896#3534
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6086#7183
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3957#4662
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8362#10123
Indian Institute of Technology (BHU) Varanasi#Electronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1929#2876
Indian Institute of Technology (BHU) Varanasi#Electronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4894#5954
Indian Institute of Technology (BHU) Varanasi#Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6786#9612
Indian Institute of Technology (BHU) Varanasi#Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11933#12213
Indian Institute of Technology (BHU) Varanasi#Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10557#14443
Indian Institute of Technology (BHU) Varanasi#Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21325#22583
Indian Institute of Technology (BHU) Varanasi#Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11431#13565
Indian Institute of Technology (BHU) Varanasi#Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17602#19246
Indian Institute of Technology (BHU) Varanasi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1510#2034
Indian Institute of Technology (BHU) Varanasi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#4650#5557
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4792#6694
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9906#13864
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6846#8244
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#14377#15421
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8656#11388
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16115#17543
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11427#13072
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#19046#19161
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#11360#13556
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17694#22557
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#13608#15572
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#22734#23275
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12409#14379
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#20044#21398
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#14899#15585
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21839#22446
Indian Institute of Technology Guwahati#Biosciences and Bioengineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8761#10455
Indian Institute of Technology Guwahati#Biosciences and Bioengineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16077#17655
Indian Institute of Technology Guwahati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4795#5959
Indian Institute of Technology Guwahati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9779#11302
Indian Institute of Technology Guwahati#Chemical Science and Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6427#8413
Indian Institute of Technology Guwahati#Chemical Science and Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12131#14677
Indian Institute of Technology Guwahati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4386#8453
Indian Institute of Technology Guwahati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13824#15530
Indian Institute of Technology Guwahati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#398#654
Indian Institute of Technology Guwahati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1422#1718
Indian Institute of Technology Guwahati#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#846#1027
Indian Institute of Technology Guwahati#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1497#1945
Indian Institute of Technology Guwahati#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1308#1698
Indian Institute of Technology Guwahati#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3606#4199
Indian Institute of Technology Guwahati#Electronics and Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1741#2117
Indian Institute of Technology Guwahati#Electronics and Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4378#5191
Indian Institute of Technology Guwahati#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5822#6637
Indian Institute of Technology Guwahati#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12986#13272
Indian Institute of Technology Guwahati#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4587#6423
Indian Institute of Technology Guwahati#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10929#13263
Indian Institute of Technology Guwahati#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#748#1124
Indian Institute of Technology Guwahati#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2123#2372
Indian Institute of Technology Guwahati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2630#4754
Indian Institute of Technology Guwahati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8233#10501
Indian Institute of Technology Bhilai#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3447#5791
Indian Institute of Technology Bhilai#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9269#11200
Indian Institute of Technology Bhilai#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5685#7009
Indian Institute of Technology Bhilai#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10880#11936
Indian Institute of Technology Bhilai#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8470#10745
Indian Institute of Technology Bhilai#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14535#15872
Indian Institute of Technology Bhilai#Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#15984#16674
Indian Institute of Technology Bhilai#Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#22385#23317
Indian Institute of Technology Bhilai#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12194#14404
Indian Institute of Technology Bhilai#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19413#22278
Indian Institute of Technology Bhilai#Mechatronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10302#11894
Indian Institute of Technology Bhilai#Mechatronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17326#19321
Indian Institute of Technology Goa#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3410#4232
Indian Institute of Technology Goa#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6983#7646
Indian Institute of Technology Goa#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6655#8909
Indian Institute of Technology Goa#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11818#15019
Indian Institute of Technology Goa#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4390#6568
Indian Institute of Technology Goa#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9722#10611
Indian Institute of Technology Goa#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10369#13483
Indian Institute of Technology Goa#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19656#21060
Indian Institute of Technology Palakkad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#14166#16487
Indian Institute of Technology Palakkad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#22093#23510
Indian Institute of Technology Palakkad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3705#5162
Indian Institute of Technology Palakkad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8281#9104
Indian Institute of Technology Palakkad#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5609#7108
Indian Institute of Technology Palakkad#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9260#11636
Indian Institute of Technology Palakkad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7989#9766
Indian Institute of Technology Palakkad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12747#14463
Indian Institute of Technology Palakkad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10064#13086
Indian Institute of Technology Palakkad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18749#21004
Indian Institute of Technology Tirupati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12703#14593
Indian Institute of Technology Tirupati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13085#21252
Indian Institute of Technology Tirupati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13330#16658
Indian Institute of Technology Tirupati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19924#23232
Indian Institute of Technology Tirupati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2089#3701
Indian Institute of Technology Tirupati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5063#6558
Indian Institute of Technology Tirupati#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6144#8826
Indian Institute of Technology Tirupati#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8480#12903
Indian Institute of Technology Tirupati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9740#12150
