Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Roorkee#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3709#5582
Indian Institute of Technology Roorkee#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9642#12213
Indian Institute of Technology (ISM) Dhanbad#Applied Geology (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#15436#15779
Indian Institute of Technology (ISM) Dhanbad#Applied Geology (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#22583#22583
Indian Institute of Technology (ISM) Dhanbad#Applied Geophysics (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#14423#15592
Indian Institute of Technology (ISM) Dhanbad#Applied Geophysics (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#22094#22094
Indian Institute of Technology (ISM) Dhanbad#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9760#11182
Indian Institute of Technology (ISM) Dhanbad#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14707#15084
Indian Institute of Technology (ISM) Dhanbad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10574#12799
Indian Institute of Technology (ISM) Dhanbad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17183#19471
Indian Institute of Technology (ISM) Dhanbad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1366#2984
Indian Institute of Technology (ISM) Dhanbad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3429#5862
Indian Institute of Technology (ISM) Dhanbad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5259#7305
Indian Institute of Technology (ISM) Dhanbad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10992#12466
Indian Institute of Technology (ISM) Dhanbad#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3153#5397
Indian Institute of Technology (ISM) Dhanbad#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7856#10150
Indian Institute of Technology (ISM) Dhanbad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8667#10863
Indian Institute of Technology (ISM) Dhanbad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17307#17978
Indian Institute of Technology (ISM) Dhanbad#Environmental Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12849#14864
Indian Institute of Technology (ISM) Dhanbad#Environmental Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18359#21398
Indian Institute of Technology (ISM) Dhanbad#Mathematics and Computing (5 Years, Integrated Master of Technology)#AI#OPEN#Gender-Neutral#3163#4546
Indian Institute of Technology (ISM) Dhanbad#Mathematics and Computing (5 Years, Integrated Master of Technology)#AI#OPEN#Female-only (including Supernumerary)#7183#9854
Indian Institute of Technology (ISM) Dhanbad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7269#9561
Indian Institute of Technology (ISM) Dhanbad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15650#17645
Indian Institute of Technology (ISM) Dhanbad#Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#11282#14251
Indian Institute of Technology (ISM) Dhanbad#Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17023#20126
Indian Institute of Technology (ISM) Dhanbad#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8548#14870
Indian Institute of Technology (ISM) Dhanbad#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#20492#22369
Indian Institute of Technology (ISM) Dhanbad#Mining Machinery Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13568#15334
Indian Institute of Technology (ISM) Dhanbad#Mining Machinery Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19624#22749
Indian Institute of Technology (ISM) Dhanbad#Petroleum Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8478#12806
Indian Institute of Technology (ISM) Dhanbad#Petroleum Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16632#19944
Indian Institute of Technology Ropar#Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2141#2496
Indian Institute of Technology Ropar#Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4623#6031
Indian Institute of Technology Ropar#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9555#10454
Indian Institute of Technology Ropar#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14696#14708
Indian Institute of Technology Ropar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10039#11556
Indian Institute of Technology Ropar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19193#19279
Indian Institute of Technology Ropar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1350#1820
Indian Institute of Technology Ropar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2416#4085
Indian Institute of Technology Ropar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3348#5421
Indian Institute of Technology Ropar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6847#9931
Indian Institute of Technology Ropar#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6677#8569
Indian Institute of Technology Ropar#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15050#16223
Indian Institute of Technology Ropar#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1885#3082
Indian Institute of Technology Ropar#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6118#7289
Indian Institute of Technology Ropar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6916#8542
Indian Institute of Technology Ropar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13690#15831
Indian Institute of Technology Ropar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#11581#13099
Indian Institute of Technology Ropar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19293#19725
Indian Institute of Technology (BHU) Varanasi#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#21712#24263
Indian Institute of Technology (BHU) Varanasi#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#22928#24626
Indian Institute of Technology (BHU) Varanasi#Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#9818#13841
Indian Institute of Technology (BHU) Varanasi#Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17600#18526
Indian Institute of Technology (BHU) Varanasi#Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11799#13579
Indian Institute of Technology (BHU) Varanasi#Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17518#18004
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9616#12872
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17873#18779
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#13063#13718
Indian Institute of Technology (BHU) Varanasi#Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21854#22446
Indian Institute of Technology (BHU) Varanasi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5716#8326
Indian Institute of Technology (BHU) Varanasi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10294#13732
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6898#9598
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14290#16291
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#9341#10601
Indian Institute of Technology (BHU) Varanasi#Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16845#18848
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#656#1054
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1748#2275
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1126#1345
Indian Institute of Technology (BHU) Varanasi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2299#2749
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2812#3400
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5844#6956
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3957#4418
Indian Institute of Technology (BHU) Varanasi#Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8362#10123
Indian Institute of Technology (BHU) Varanasi#Electronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1929#2762
Indian Institute of Technology (BHU) Varanasi#Electronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4843#5792
Indian Institute of Technology (BHU) Varanasi#Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6463#8301
Indian Institute of Technology (BHU) Varanasi#Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11933#12213
Indian Institute of Technology (BHU) Varanasi#Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10557#13581
Indian Institute of Technology (BHU) Varanasi#Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21325#21441
Indian Institute of Technology (BHU) Varanasi#Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11431#12940
Indian Institute of Technology (BHU) Varanasi#Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17602#19246
Indian Institute of Technology (BHU) Varanasi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1510#2024
Indian Institute of Technology (BHU) Varanasi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#4650#5557
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4696#6506
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9906#13294
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6846#7891
Indian Institute of Technology (BHU) Varanasi#Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13549#13910
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8656#10660
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13750#16929
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10812#12149
Indian Institute of Technology (BHU) Varanasi#Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#19046#19161
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9709#12879
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17694#21229
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#13016#14196
Indian Institute of Technology (BHU) Varanasi#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21929#22734
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12209#13686
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17915#21036
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#13917#14298
Indian Institute of Technology (BHU) Varanasi#Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#21839#22317
Indian Institute of Technology Guwahati#Biosciences and Bioengineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7806#9520
Indian Institute of Technology Guwahati#Biosciences and Bioengineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14672#15675
Indian Institute of Technology Guwahati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4352#5554
Indian Institute of Technology Guwahati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9623#11057
Indian Institute of Technology Guwahati#Chemical Science and Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6423#8083
Indian Institute of Technology Guwahati#Chemical Science and Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11302#13756
Indian Institute of Technology Guwahati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4386#7751
Indian Institute of Technology Guwahati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13155#14585
Indian Institute of Technology Guwahati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#398#611
Indian Institute of Technology Guwahati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1422#1718
Indian Institute of Technology Guwahati#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#628#993
Indian Institute of Technology Guwahati#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1497#1945
Indian Institute of Technology Guwahati#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1308#1606
Indian Institute of Technology Guwahati#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3486#4141
Indian Institute of Technology Guwahati#Electronics and Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1630#2056
Indian Institute of Technology Guwahati#Electronics and Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4378#5040
Indian Institute of Technology Guwahati#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5744#6289
Indian Institute of Technology Guwahati#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12986#13272
Indian Institute of Technology Guwahati#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4402#6053
Indian Institute of Technology Guwahati#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8321#12913
Indian Institute of Technology Guwahati#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#648#1079
Indian Institute of Technology Guwahati#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2123#2330
Indian Institute of Technology Guwahati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2630#4372
Indian Institute of Technology Guwahati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8233#10501
Indian Institute of Technology Bhilai#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3447#5457
Indian Institute of Technology Bhilai#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7882#9661
Indian Institute of Technology Bhilai#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5575#6309
Indian Institute of Technology Bhilai#Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10880#11200
Indian Institute of Technology Bhilai#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6424#9942
Indian Institute of Technology Bhilai#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14535#15222
Indian Institute of Technology Bhilai#Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#15135#15505
Indian Institute of Technology Bhilai#Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#21952#22150
Indian Institute of Technology Bhilai#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10286#13249
Indian Institute of Technology Bhilai#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19413#21510
Indian Institute of Technology Bhilai#Mechatronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10302#10683
Indian Institute of Technology Bhilai#Mechatronics Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15432#17326
Indian Institute of Technology Goa#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3095#3910
Indian Institute of Technology Goa#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6983#7646
Indian Institute of Technology Goa#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6094#8164
Indian Institute of Technology Goa#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11818#14463
Indian Institute of Technology Goa#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4390#5842
Indian Institute of Technology Goa#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9722#10611
Indian Institute of Technology Goa#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8378#12320
Indian Institute of Technology Goa#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19656#20674
Indian Institute of Technology Palakkad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#14102#15211
Indian Institute of Technology Palakkad#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#21004#22093
Indian Institute of Technology Palakkad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3609#4697
Indian Institute of Technology Palakkad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8281#8709
Indian Institute of Technology Palakkad#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4884#6949
Indian Institute of Technology Palakkad#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9104#9783
Indian Institute of Technology Palakkad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7989#9289
Indian Institute of Technology Palakkad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12719#12903
Indian Institute of Technology Palakkad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10064#12405
Indian Institute of Technology Palakkad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17032#18438
Indian Institute of Technology Tirupati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12703#14447
Indian Institute of Technology Tirupati#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13085#17315
Indian Institute of Technology Tirupati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#11371#14665
Indian Institute of Technology Tirupati#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19608#20738
Indian Institute of Technology Tirupati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2089#3507
Indian Institute of Technology Tirupati#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5063#6016
Indian Institute of Technology Tirupati#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6144#8277
Indian Institute of Technology Tirupati#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8480#12516
Indian Institute of Technology Tirupati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8597#11214
Indian Institute of Technology Tirupati#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15197#17907
Indian Institute of Technology Jammu#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12524#15028
Indian Institute of Technology Jammu#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#21492#21926
Indian Institute of Technology Jammu#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12897#15628
Indian Institute of Technology Jammu#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#22884#23299
Indian Institute of Technology Jammu#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3050#4531
Indian Institute of Technology Jammu#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8521#9840
Indian Institute of Technology Jammu#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8695#9241
Indian Institute of Technology Jammu#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13533#14564
Indian Institute of Technology Jammu#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#14216#15784
Indian Institute of Technology Jammu#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#22786#23167
Indian Institute of Technology Jammu#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5536#7667
Indian Institute of Technology Jammu#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10282#13480
Indian Institute of Technology Jammu#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9849#12601
Indian Institute of Technology Jammu#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18797#20425
Indian Institute of Technology Dharwad#Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13177#14943
Indian Institute of Technology Dharwad#Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19087#19087
Indian Institute of Technology Dharwad#Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#13362#14406
Indian Institute of Technology Dharwad#Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#22017#22017
Indian Institute of Technology Dharwad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3889#5470
Indian Institute of Technology Dharwad#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6099#10263
Indian Institute of Technology Dharwad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6678#9682
Indian Institute of Technology Dharwad#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13435#14632
Indian Institute of Technology Dharwad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9879#11432
Indian Institute of Technology Dharwad#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#19130#19130
Indian Institute of Technology Dharwad#Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Gender-Neutral#11702#16476
Indian Institute of Technology Dharwad#Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#19685#24882
Indian Institute of Technology Dharwad#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5543#6652
Indian Institute of Technology Dharwad#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11118#11274
Indian Institute of Technology Dharwad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10192#12702
Indian Institute of Technology Dharwad#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17969#21060
